window_id,name,regime,trades,s1_trades,t1_trades,orb_trades,win_rate_pct,net_pnl_usd,net_roi_pct,max_dd_pct,status
1,Q1 2021 Crypto Bull Run & Stimulus Ignition,BULL_EXPANSION,73,69,2,2,57.534246575342465,-169.1848309578736,-3.3836966191574716,4.990108081869901,FAIL
2,Q2 2021 May Liquidation Crash & China Ban,BULL_EXPANSION,99,92,7,0,59.59595959595959,-237.62591386503118,-4.752518277300624,4.950341507107425,FAIL
3,Q3 2021 El Salvador Tender & Summer Rebound,SIDEWAYS_CHOP,442,409,30,3,60.85972850678733,-233.97890356571952,-4.679578071314391,4.921607137391722,FAIL
4,Q4 2021 ATH Blowoff & Distribution Peak,BEAR_CONTAGION,16,11,0,5,68.75,27.840000259194312,0.5568000051838862,1.7457305494334985,PROFIT
5,Q1 2022 Fed Rate Hike Cycle & Macro Shock,SIDEWAYS_CHOP,317,298,19,0,59.305993690851736,-210.7214272202691,-4.214428544405382,4.93308804858844,FAIL
6,Q2 2022 Terra-Luna Collapse & 3AC Insolvency,BULL_EXPANSION,91,84,6,1,56.043956043956044,-151.9632049145912,-3.0392640982918238,4.948897436686326,FAIL
7,Q3 2022 ETH Merge & Dollar Index Surge,BEAR_CONTAGION,26,26,0,0,46.15384615384615,-150.71101272139913,-3.0142202544279826,3.7778393215719928,FAIL
8,Q4 2022 FTX Bankruptcy & Cycle Capitulation,SIDEWAYS_CHOP,224,198,26,0,55.80357142857143,-158.60474539853385,-3.172094907970677,4.91667986956996,FAIL
9,Q1 2023 SVB Bank Run & Short Squeeze Recovery,SIDEWAYS_CHOP,265,241,23,1,53.9622641509434,-242.61597517059727,-4.8523195034119455,4.8523195034119455,FAIL
10,Q2 2023 BlackRock Spot ETF Filing & Compression,SIDEWAYS_CHOP,162,132,30,0,54.93827160493827,-84.54078964807559,-1.6908157929615117,2.8151268538721106,FAIL
11,Q3 2023 Mid-Summer Flash Flush & Yield Spike,SIDEWAYS_CHOP,143,121,22,0,49.65034965034965,-217.6740417135461,-4.353480834270922,4.875207596720713,FAIL
12,Q4 2023 Uptober Spot ETF Pre-Run & Rally,SIDEWAYS_CHOP,144,123,21,0,52.083333333333336,-203.2759377862085,-4.06551875572417,4.9553385683771864,FAIL
13,Q1 2024 Spot ETF Inflows & Pre-Halving ATH,SIDEWAYS_CHOP,177,150,27,0,55.367231638418076,-239.34902360125852,-4.786980472025171,4.853434886542984,FAIL
14,Q2 2024 Bitcoin Halving & Post-ATH Re-Accumulation,BULL_EXPANSION,98,88,8,2,52.04081632653062,-247.02613814579308,-4.940522762915862,4.940522762915862,FAIL
15,Q3 2024 Global Carry Trade Unwind & 50bps Cut,SIDEWAYS_CHOP,216,188,27,1,50.46296296296296,-150.83082990433195,-3.016616598086639,4.613943824904749,FAIL
16,Q4 2024 US Presidential Election & Mega Breakout,SIDEWAYS_CHOP,341,309,32,0,60.117302052785924,-25.414303287568146,-0.5082860657513629,3.9634660740053453,FAIL
17,Q1 2025 Strategic Reserve & Institutional Wave,SIDEWAYS_CHOP,173,164,9,0,55.49132947976878,-88.71279790777044,-1.7742559581554087,4.880052758175773,FAIL
18,Q2 2025 Regulatory Clarity & Altcoin Momentum,SIDEWAYS_CHOP,232,210,22,0,57.758620689655174,-188.43545982656633,-3.7687091965313266,4.879338045511949,FAIL
19,Q3 2025 Summer Microstructure Volatility,SIDEWAYS_CHOP,192,168,24,0,56.770833333333336,-86.04648600715154,-1.720929720143031,4.8786147632034025,FAIL
20,Q4 2025 Year-End Macro Flow Rebalancing,SIDEWAYS_CHOP,160,144,14,2,50.0,-111.14552753861244,-2.222910550772249,4.86617975718899,FAIL
21,Q1 2026 New Year Cross-Asset Flow,SIDEWAYS_CHOP,158,135,23,0,58.86075949367089,119.78985997822201,2.39579719956444,4.961907600180286,PROFIT
22,Q2 2026 Modern Microstructure Flow,SIDEWAYS_CHOP,127,91,36,0,60.629921259842526,-103.19634734157444,-2.0639269468314887,3.5275946490888717,FAIL
23,Q3 2026 Live Production Regime,BEAR_CONTAGION,2,2,0,0,100.0,1.2800000000006548,0.025600000000013095,0.0,PROFIT
