window_id,name,trades,win_rate_pct,net_roi_pct,max_dd_pct,net_pnl_usd,status
1,Q1 2021 Crypto Bull Run & Stimulus Ignition,912,40.67982456140351,65.57487541512693,9.782713301336695,3278.743770756346,FAIL
2,Q2 2021 May Liquidation Crash & China Ban,857,36.522753792298715,2.1651359287869307,28.239969384749,108.25679643934654,FAIL
3,Q3 2021 El Salvador Tender & Summer Rebound,449,40.534521158129174,-9.133765919758552,9.851683026471907,-456.68829598792763,FAIL
4,Q4 2021 ATH Blowoff & Distribution Peak,454,41.85022026431718,-6.127784669377543,8.431110880193563,-306.38923346887714,FAIL
5,Q1 2022 Fed Rate Hike Cycle & Macro Shock,446,44.84304932735426,-2.486076047929728,6.850666893846735,-124.30380239648639,FAIL
6,Q2 2022 Terra-Luna Collapse & 3AC Insolvency,405,42.96296296296296,-2.829509514381152,9.280701174895716,-141.4754757190576,FAIL
7,Q3 2022 ETH Merge & Dollar Index Surge,439,43.05239179954442,-6.756934268757213,9.074596876219996,-337.84671343786067,FAIL
8,Q4 2022 FTX Bankruptcy & Cycle Capitulation,378,43.65079365079365,7.268308703950807,12.35308620224803,363.4154351975403,FAIL
9,Q1 2023 SVB Bank Run & Short Squeeze Recovery,420,36.904761904761905,-12.127079343285914,12.79978196700778,-606.3539671642957,FAIL
10,Q2 2023 BlackRock Spot ETF Filing & Compression,322,42.857142857142854,-2.1319427047212773,7.309429797660255,-106.59713523606388,FAIL
11,Q3 2023 Mid-Summer Flash Flush & Yield Spike,285,39.29824561403509,1.686196162647375,5.2120592920632625,84.30980813236874,FAIL
12,Q4 2023 Uptober Spot ETF Pre-Run & Rally,447,44.29530201342282,-1.748325130625235,5.922633379882427,-87.41625653126175,FAIL
13,Q1 2024 Spot ETF Inflows & Pre-Halving ATH,414,40.82125603864734,-4.715818984179187,9.548583114787608,-235.79094920895932,FAIL
14,Q2 2024 Bitcoin Halving & Post-ATH Re-Accumulation,371,41.23989218328841,-4.799770490803203,6.989892423666254,-239.98852454016014,FAIL
15,Q3 2024 Global Carry Trade Unwind & 50bps Cut,442,41.1764705882353,-9.016590949241346,10.131017774997089,-450.82954746206724,FAIL
16,Q4 2024 US Presidential Election & Mega Breakout,482,45.643153526970956,18.899058053430345,5.297663481501778,944.9529026715172,FAIL
17,Q1 2025 Strategic Reserve & Institutional Wave,381,40.94488188976378,-11.76524108001522,12.532157828853798,-588.262054000761,FAIL
18,Q2 2025 Regulatory Clarity & Altcoin Momentum,398,39.447236180904525,-8.389656957718707,9.613197136546955,-419.48284788593537,FAIL
19,Q3 2025 Summer Microstructure Volatility,385,46.23376623376623,0.9279876433770551,4.846037989249647,46.39938216885275,PROFIT
20,Q4 2025 Year-End Macro Flow Rebalancing,418,43.301435406698566,-3.818342031773209,7.41118550629133,-190.91710158866044,FAIL
21,Q1 2026 New Year Cross-Asset Flow,354,42.090395480225986,-5.43477987337812,8.271477833243669,-271.738993668906,FAIL
22,Q2 2026 Modern Microstructure Flow,378,41.26984126984127,-6.637718044730173,6.780464010868782,-331.8859022365086,FAIL
23,Q3 2026 Live Production Regime,259,44.4015444015444,-1.1162121323102292,3.6074891368119886,-55.81060661551146,FAIL
